101.rle,101
longhookwithtail_synth.rle,Long hook with tail_synth
longintegral.rle,Long integral
longintegral_synth.rle,Long integral_synth
longlongbarge.rle,Long long barge
longlongbarge_synth.rle,Long long barge_synth
longlongboat.rle,Long long boat
longlongboat_synth.rle,Long long boat_synth
longlongcanoe.rle,Long long canoe
longlongcanoe_synth.rle,Long long canoe_synth
longlonghookwithtail.rle,Long long hook with tail
longlonghookwithtail_synth.rle,Long long hook with tail_synth
longlongshillelagh.rle,Long long shillelagh
longlongshillelagh_synth.rle,Long long shillelagh_synth
longlongship.rle,Long long ship
longlongship_synth.rle,Long long ship_synth
longlongsnake.rle,Long long snake
longlongsnake_synth.rle,Long long snake_synth
longshillelagh.rle,Long shillelagh
longshillelagh_synth.rle,Long shillelagh_synth
longship.rle,Long ship
longship_synth.rle,Long ship_synth
longsnake.rle,Long snake
longsnake_synth.rle,Long snake_synth
loop.rle,Loop
loop_synth.rle,Loop_synth
lwss.rle,Lightweight spaceship
lwsstagalong.rle,LWSS tagalong
lwss_synth.rle,Lightweight spaceship_synth
mango.rle,Mango
mango_synth.rle,Mango_synth
mathematician.rle,Mathematician
max.rle,Max
maze2cellstilllifes.rle,Maze 2-cell still lifes
maze3cellstilllifes.rle,Maze 3-cell still lifes
maze4cellstilllifes.rle,Maze 4-cell still lifes
maze5cellstilllifes.rle,Maze 5-cell still lifes
maze6cellstilllifes.rle,Maze 6-cell still lifes
maze7cellstilllifes.rle,Maze 7-cell still lifes
maze8cellstilllifes.rle,Maze 8-cell still lifes
maze9cellstilllifes.rle,Maze 9-cell still lifes
mazeperiod2.rle,Maze period 2
mazestilllifes.rle,Maze still lifes
mazewickstretcher.rle,Maze wickstretcher
mazing.rle,Mazing
mazing_synth.rle,Mazing_synth
mersenneprimecalculator.rle,Mersenne prime calculator
merzenichp18.rle,Merzenich p18
metacatacryst.rle,Metacatacryst
mickeymouse.rle,Mickey Mouse
middleweightemulator.rle,Middleweight emulator
middleweightemulator_synth.rle,Middleweight emulator_synth
middleweightvolcano.rle,Middleweight volcano
minipressurecooker.rle,Mini pressure cooker
minipressurecooker_synth.rle,Mini pressure cooker_synth
mirage.rle,Mirage
mirroreddock.rle,Mirrored dock
mirroreddock_synth.rle,Mirrored dock_synth
mold.rle,Mold
moldandlonghookeatingtub.rle,Mold and long hook eating tub
moldandlonghookeatingtub_synth.rle,Mold and long hook eating tub_synth
moldon36p22.rle,mold on 36P22
moldon36p22_synth.rle,mold on 36P22_synth
moldon41p7.2.rle,Mold on 41P7.2
moldonfumarole.rle,Mold on fumarole
moldonfumarole_synth.rle,Mold on fumarole_synth
moldonpentadecathlon.rle,Mold on pentadecathlon
moldonpentadecathlon_synth.rle,Mold on pentadecathlon_synth
mold_synth.rle,Mold_synth
monogram.rle,Monogram
monogram_synth.rle,Monogram_synth
montana.rle,Montana
moon.rle,Moon
mooseantlers.rle,Moose antlers
mooseantlers_synth.rle,Moose antlers_synth
mosquito1.rle,Mosquito 1
mosquito1b.rle,Mosquito 1b
mosquito2.rle,Mosquito 2
mosquito3.rle,Mosquito 3
mosquito4.rle,Mosquito 4
mosquito5.rle,Mosquito 5
movepuffer.rle,Move puffer
movestilllifes.rle,Move still lifes
movingsawtooth.rle,Moving sawtooth
multuminparvo.rle,Multum in parvo
mutteringmoat1.rle,Muttering moat 1
mwss.rle,Middleweight spaceship
mwss_synth.rle,Middleweight spaceship_synth
negentropy.rle,Negentropy
newfive.rle,New five
newgun1.rle,New gun 1
newgun2.rle,New gun 2
newshuttle.rle,Newshuttle
noahsark.rle,Noah's ark
noahsark_synth.rle,Noah's ark_synth
nonmonotonicspaceship1.rle,Non-monotonic spaceship 1
octagon2.rle,Octagon 2
octagon2on36p22.rle,Octagon 2 on 36P22
octagon2_synth.rle,Octagon 2_synth
octagon4_synth.rle,Octagon 4_synth
oddkeys.rle,Odd keys
oddkeys_synth.rle,Odd keys_synth
oddtesttubebaby.rle,Odd test tube baby
oddtesttubebaby_synth.rle,Odd test tube baby_synth
onepergeneration.rle,One per generation
opentomino.rle,O-pentomino
originaldiuresis.rle,Original diuresis
originalglidersbythedozen.rle,original gliders by the dozen
originalp15prepulsarspaceship.rle,Original P15 pre-pulsar spaceship
originalp44piheptominohassler.rle,Original p44 pi-heptomino hassler
originalp56bheptominoshuttle.rle,Original P56 B-heptomino shuttle
orion.rle,Orion
orion2.rle,Orion 2
ortholoafandtable.rle,Ortho-loaf and table
ortholoafandtable_synth.rle,Ortho-loaf and table_synth
osc-p43+.rle,Ortho-loaf and table_synth
otcametapixel.rle,OTCA metapixel
otcametapixeloff.rle,OTCA metapixel (off)
owss.rle,Overweight spaceship
p110trafficjam.rle,P110 traffic jam
p132hansleohassler.rle,P132 Hans Leo hassler
p144hansleohassler.rle,P144 Hans Leo hassler
p156hansleohassler.rle,P156 Hans Leo hassler
p15prepulsarspaceship.rle,P15 pre-pulsar spaceship
p160dartgun.rle,P160 dart gun
p18glidershuttle.rle,p18 glider shuttle
p18honeyfarmhassler.rle,P18 honey farm hassler
p22lumpsofmuckhassler.rle,P22 lumps of muck hassler
p230glidershuttle.rle,p230 glider shuttle
p246glidershuttle.rle,p246 glider shuttle
p26glidershuttle.rle,P26 glider shuttle
p30beehivehassler.rle,P30 beehive hassler
p31reflection.rle,p31 reflection
p35beehivehassler.rle,p35.1
p36toadhassler.rle,P36 toad hassler
p36toadsucker.rle,p36 toadsucker
p37interaction.rle,P37 interaction
p37reflections.rle,p37 reflections
p40bheptominoshuttle.rle,P40 B-heptomino shuttle
p41660p5h2v0gun.rle,P416 60P5H2V0 gun
p42glidershuttle.rle,p42 glider shuttle
p43gliderloop.rle,p43 glider loop
p43glidershuttle.rle,p43 glider shuttle
p44guns.rle,p44 guns
p44piheptominohassler.rle,P44 pi-heptomino hassler
p44piheptominohassler_synth.rle,P44 pi-heptomino hassler_synth
p44trafficlighthassler.rle,P44 traffic light hassler
p44trafficlighthassleroriginal.rle,P44 traffic light hassler (original)
p45engine.rle,p45 engine
p46gun.rle,p46 gun
p48toadhassler.rle,P48 toad hassler
p48toadsucker.rle,P48 toad sucker
p50glidershuttle.rle,p50 glider shuttle
p50trafficjam.rle,P50 traffic jam
p50trafficjam_synth.rle,P50 traffic jam_synth
p53gliderloop.rle,p53 glider loop
p54shuttle.rle,p54 shuttle
p54shuttle_synth.rle,P54 shuttle_synth
p56bheptominoshuttle.rle,P56 B-heptomino shuttle
p56bheptominoshuttle_synth.rle,P56 B-heptomino shuttle_synth
p5760unitlifecell.rle,p5760 unit Life cell
p57gliderloop.rle,p57 glider loop
p57herschelloop1.rle,P57 Herschel loop 1
p58toadsucker.rle,P58 toadsucker
p59glidergun8kx8k.rle,Period-59 glider gun (8k-by-8k)
p59glidergungreene.rle,Snark-assisted period-59 glider gun
p59glidergunoriginal.rle,Period-59 glider gun (original)
p59gliderloop.rle,p59 glider loop
p59herschelloop1.rle,P59 Herschel loop 1
p5reflector.rle,P5 reflector
p5reflectorwithgliders.rle,P5 reflector with gliders
p61gliderloop.rle,p61 glider loop
p61herschelloop1.rle,P61 Herschel loop 1
p62blinkerhassler.rle,p62 blinker hassler
p63gliderloop.rle,p63 glider loop
p65gliderloop.rle,p65 glider loop
p66glidershuttle.rle,p66 glider shuttle
p67gliderloop.rle,p67 glider loop
p68gliderloop.rle,p68 glider loop
p69060p5h2v0gun.rle,P690 60P5H2V0 gun
p69gliderloop.rle,p69 glider loop
p6diagonalwickstretcher1.rle,p6 diagonal wickstretcher 1
p71gliderloop.rle,p71 glider loop
p88piheptominohassler.rle,p88 pi-heptomino hassler
p94s.rle,P94S
p94s2.rle,P94S2
paperclip.rle,Paperclip
paperclip_synth.rle,Paperclip_synth
parabolicsawtooth.rle,Parabolic sawtooth
partialqueenbeeloop.rle,Partial queen bee loop
pedestle.rle,Pedestle
pennylane.rle,Penny lane
pentadecathlon.rle,Pentadecathlon
pentadecathlonon37p7.1.rle,Pentadecathlon on 37P7.1
pentadecathlonon38p7.2.rle,Pentadecathlon on 38P7.2
pentadecathlononsnacker.rle,Pentadecathlon on snacker
pentadecathlononsnacker_synth.rle,Pentadecathlon on snacker_synth
pentadecathlononthumb1.rle,Pentadecathlon on thumb 1
pentadecathlon_synth.rle,Pentadecathlon_synth
pentant.rle,Pentant
pentapole.rle,Pentapole
pentapole_synth.rle,Pentapole_synth
pentoad.rle,Pentoad
pentoad1h2.rle,Pentoad 1H2
pentoad2.rle,Pentoad 2
pentoadwithtwohexominoes.rle,Pentoad with two hexominoes
pentoad_synth.rle,Pentoad_synth
period1114oscillators.rle,Period 11 - 14 oscillators
period14glidergun.rle,Period 11 - 14 oscillators
period20glidergun.rle,p20 glider gun
period2oscillators.rle,Period 2 oscillators
period3oscillators.rle,Period 3 oscillators
period40glidergun.rle,p40 glider gun
period4oscillators.rle,Period 4 oscillators
period50glidergun.rle,p50 glider gun variant by Dean Hickerson
period50glidergun_bell.rle,p50 glider gun variant by David Bell
period59gun.rle,Period-59 glider gun
period5oscillators.rle,Period 5 oscillators
period61glidergun.rle,Period-61 glider gun
period6oscillators.rle,Period 6 oscillators
period7and8oscillators.rle,Period 7 and 8 oscillators
period8eater3.rle,Period 8 eater 3
period9and10oscillators.rle,Period 9 and 10 oscillators
phoenix1.rle,Phoenix 1
phoenix1extended.rle,Phoenix 1 extended
phoenix1_synth.rle,Phoenix 1_synth
pieater.rle,Pi eater
pieater2.rle,Pi eater 2
piheptomino.rle,Pi-heptomino
piheptomino_synth.rle,Pi-heptomino_synth
pincers_synth.rle,Pincers_synth
pinwheel.rle,Pinwheel
piorbital.rle,Pi orbital
piportraitor.rle,Pi portraitor
pipsquirter1.rle,Pipsquirter 1
pipsquirter1asreflector.rle,Pipsquirter 1 as reflector
pipsquirter2.rle,Pipsquirter 2
pipsquirter2reflector.rle,Pipsquirter 2 reflector
piship1.rle,Pi ship 1
piston.rle,Piston
pond.rle,Pond
pondonpond.rle,Pond on pond
pondonpond_synth.rle,Pond on pond_synth
pond_synth.rle,Pond_synth
popover.rle,Popover
pp8primecalculator.rle,(p p+8) prime calculator
ppentomino.rle,P-pentomino
prebeehive.rle,Pre-beehive
prebeehive_synth.rle,Pre-beehive_synth
preblock.rle,Pre-block
preblock_synth.rle,Pre-block_synth
prepulsar.rle,Pre-pulsar
prepulsarhassler55.rle,Pre-pulsar hassler 55
prepulsarpredecessor.rle,Pre-pulsar predecessor
prepulsarshuttle26.rle,Pre-pulsar shuttle 26
prepulsarshuttle28.rle,Pre-pulsar shuttle 28
prepulsarshuttle29.rle,Pre-pulsar shuttle 29
prepulsarshuttle29v2.rle,Pre-pulsar shuttle 29 v2
prepulsarshuttle29v3.rle,Pre-pulsar shuttle 29 v3
prepulsarshuttle47.rle,Pre-pulsar shuttle 47
prepulsarshuttle47v2.rle,Pre-pulsar shuttle 47 v2
prepulsarshuttle58.rle,Pre-pulsar shuttle 58
prepulsarspaceship.rle,Pre-pulsar spaceship
pressurecooker.rle,Pressure cooker
primequadrupletcalculator.rle,Prime quadruplet calculator
primer.rle,Primer
protein.rle,Protein
pseudobarberpole.rle,Pseudo-barberpole
pseudobarberpoleon36p22.rle,Pseudo-barberpole on 36p22
pseudobarberpole_synth.rle,Pseudo-barberpole_synth
puffer1.rle,Puffer 1
puffer2.rle,Puffer 2
puffer2_synth.rle,Puffer 2_synth
pufferfish.rle,Pufferfish
pufferfishbreeder.rle,Pufferfish breeder
pufferfishcompanion.rle,Pufferfish with a companion
pufferfishrake.rle,Pufferfish rake
pufferfishspaceship.rle,Pufferfish spaceship
pufferfishspaceship_synth.rle,pufferfishspaceship_synth.rle
pufferfish_synth.rle,Pufferfish_synth
pulsar.rle,Pulsar
pulsarquadrant.rle,Pulsar quadrant
pulsarquadrant_synth.rle,Pulsar quadrant_synth
pulsar_synth.rle,Pulsar_synth
pushalong1.rle,Pushalong 1
pushalong1_synth.rle,Pushalong 1
qpentomino.rle,Q-pentomino
quad.rle,Quad
quadfuse.rle,Quadfuse
quadpole.rle,Quadpole
quadpole_synth.rle,Quadpole_synth
quadpseudostilllife.rle,Quad pseudo still life
quadraticsawtooth.rle,quadraticsawtooth.rle
quad_synth.rle,Quad_synth
quasar.rle,Quasar
queenbee.rle,Queen bee
queenbeeloop.rle,Queen bee loop
queenbeeshuttle.rle,Queen bee shuttle
queenbeeshuttlepipredecessor.rle,Queen bee shuttle pi predecessor
queenbeeshuttle_synth.rle,Queen bee shuttle_synth
queenbeeturner.rle,Queen bee turner
queenbeeturningreaction1.rle,Queen bee turning reaction 1
queenbee_synth.rle,Queen bee_synth
r2d2.rle,R2D2
rabbits.rle,Rabbits
rabbits_synth.rle,Rabbits_synth
radialpseudobarberpole.rle,Radial pseudo-barberpole
rats.rle,$rats
rats_synth.rle,$rats_synth
rbeeandsnake.rle,R-bee and snake
rbeeandsnake_synth.rle,R-bee and snake_synth
rectifier.rle,Rectifier
replicator.rle,Replicator
replicatorpredecessor.rle,Replicator predecessor
revolver.rle,Revolver
rileysbreeder.rle,Riley's breeder
ringoffire.rle,Ring of fire
rloaf.rle,R-loaf
roteightor.rle,Roteightor
roteightorextension.rle,roteightor extension
rpentomino.rle,R-pentomino
rpentomino_synth.rle,R-pentomino_synth
rumblingriver1.rle,Rumbling river 1
sailboat.rle,Sailboat
sawtooth1.rle,Sawtooth 1
sawtooth1163.rle,Sawtooth 1163
sawtooth177.rle,Sawtooth 177
sawtooth181.rle,sawtooth181.rle
sawtooth1846.rle,Sawtooth 1846
sawtooth201.rle,Sawtooth 1846
sawtooth260.rle,Sawtooth 260
sawtooth262.rle,Sawtooth 262
sawtooth269.rle,Sawtooth 269
sawtooth362.rle,Sawtooth 362
sawtooth562.rle,Sawtooth 562
sawtooth633.rle,Sawtooth 633
schickengine.rle,Schick engine
schickengine_synth.rle,Schick engine_synth
scorpion.rle,Scorpion
scorpion_synth.rle,Scorpion_synth
scotsp5.rle,Scot's p5
scrubber.rle,Scrubber
scrubber_synth.rle,Scrubber_synth
scrubber_with_blocks.rle,Scrubber with blocks
seal.rle,Seal
semisnark.rle,Semi-snark
sesquihat.rle,Sesquihat
sesquihat_synth.rle,Sesquihat_synth
shillelagh.rle,Shillelagh
shillelagh_synth.rle,Shillelagh_synth
ship.rle,Ship
shipinabottle.rle,Ship in a bottle
shipmaker.rle,Ship maker
shiponbipole_synth.rle,Ship on bipole_synth
shiponlongboat.rle,Ship on long boat
shiponlongboat_synth.rle,Ship on long boat_synth
shiponquadpole.rle,Ship on quadpole
shiponquadpole_synth.rle,Ship on quadpole_synth
shiptie.rle,Ship-tie
shiptie_synth.rle,Ship-tie_synth
ship_synth.rle,Ship_synth
shortkeys.rle,Short keys
shortkeys_synth.rle,Short keys_synth
sidecar.rle,Sidecar
sidecareater.rle,Sidecar eater
sidecargun.rle,Sidecar gun
sidecar_synth.rle,Sidecar_synth
sidewalk.rle,Sidewalk
sidewalk_synth.rle,Sidewalk_synth
siesta.rle,Siesta
silversp5.rle,Silver's p5
silversp5_synth.rle,Silver's p5_synth
silversreflector.rle,Silver's p5_synth
simkinglidergun.rle,Simkin glider gun
sixls.rle,Six Ls
sixtynine.rle,Sixty-nine
skewedprepulsar.rle,Skewed pre-pulsar
skewedquad.rle,Skewed quad
skewedquad_synth.rle,Skewed quad_synth
skewedtrafficlight.rle,Skewed traffic light
slidegun.rle,Slide gun
slowpuffer1.rle,Slow puffer 1
slowpuffer2.rle,Slow puffer 2
slowpuffer2rake.rle,rake based on Slow Puffer 2
smallernewshuttle.rle,Smaller newshuttle
smallerp61gun.rle,Period-61 glider gun
smalllake.rle,Small lake
smalllake_synth.rle,Small lake_synth
smallstilllifes.rle,Small still lifes
smiley.rle,Smiley
smiley_synth.rle,Smiley_synth
snacker.rle,Snacker
snacker2.rle,Snacker 2
snackeron38p7.2.rle,Snacker on 38P7.2
snacker_synth.rle,Snacker_synth
snail.rle,Snail
snake.rle,Snake
snakebridgesnake.rle,Snake bridge snake
snakebridgesnake_synth.rle,Snake bridge snake_synth
snakedance.rle,Snake dance
snakepit.rle,Snake pit
snakepit2.rle,Snake pit 2
snakepit2_synth.rle,Snake pit 2_synth
snakesiamesesnake.rle,Snake siamese snake
snakesiamesesnake_synth.rle,Snake siamese snake_synth
snake_synth.rle,Snake_synth
snark.rle,Snark
snark_synth.rle,Snark_synth
snorkelloop.rle,Snorkel loop
snorkelloop_synth.rle,Snorkel loop_synth
sombreros.rle,Sombreros
spacefiller1.rle,Spacefiller 1
spacefiller2.rle,Spacefiller 2
spacerake.rle,Space rake
sparkcoil.rle,Spark coil
sparkcoil_synth.rle,Spark coil_synth
sparky.rle,Sparky
spentomino.rle,S-pentomino
spider.rle,Spider
spiral.rle,Spiral
squaredance.rle,Squaredance
stairstephexomino.rle,Stairstep hexomino
star.rle,Star
stargate.rle,Star gate
stargatewithlightweightspaceships.rle,Star gate with lightweight spaceships
starwithblocks.rle,Star with blocks
star_synth.rle,Star_synth
stillater.rle,Stillater
stilllifes.rle,Still lifes
stilllifetagalong.rle,Still life tagalong
superfountain.rle,Superfountain
surprise.rle,Surprise
swan.rle,Swan
swanboatstretcher.rle,Swan boatstretcher
swanweldgoose.rle,Swan weld goose
swine.rle,Swine
switchengine.rle,Switch engine
switchenginepingpong.rle,Switch engine ping-pong
symmetricscorpion.rle,Symmetric scorpion
table.rle,Table
tableontable.rle,Table on table
tableontable_synth.rle,Table on table_synth
tail.rle,Tail
teardrop.rle,Teardrop
teardrop_synth.rle,Teardrop_synth
technician.rle,Technician
teeth.rle,Teeth
testtubebaby.rle,Test tube baby
testtubebaby_synth.rle,Test tube baby_synth
tetheredrake.rle,Tethered rake
tetraplets.rle,Tetraplets
tetrominoes.rle,Tetrominoes
thumb1.rle,Thumb 1
thumb2.rle,Thumb 2
thunderbird.rle,Thunderbird
thunderbird_synth.rle,Thunderbird_synth
timebomb.rle,Time bomb
titanictoroidaltraveler.rle,Titanic toroidal traveler
tlogtgrowth.rle,tlog(t) growth
tnosedp4.rle,T-nosed p4
tnosedp6.rle,T-nosed p6
toad.rle,Toad
toadflipper.rle,Toad flipper
toadsucker.rle,Toad sucker
toad_synth.rle,Toad_synth
toaster.rle,Toaster
totalaperiodic.rle,Total aperiodic
totalperiodic.rle,Total periodic
tpentomino.rle,T-pentomino
trafficcircle.rle,Traffic circle
trafficjam.rle,Traffic jam
trafficlight.rle,Traffic light
trafficlight_synth.rle,Traffic light_synth
transbargewithtail.rle,Trans-barge with tail
transbargewithtail_synth.rle,Trans-barge with tail_synth
transbeaconandcap.rle,Trans-beacon and cap
transbeaconandcap_synth.rle,Trans-beacon and cap_synth
transbeaconanddock.rle,Trans-beacon and dock
transbeaconanddock_synth.rle,Trans-beacon and dock_synth
transbeaconandtable.rle,Trans-beacon and table
transbeaconandtable_synth.rle,Trans-beacon and table_synth
transblockandlonghook.rle,Trans-block and long hook
transblockandlonghookeatingtub_synth.rle,Trans-block and long hook eating tub_synth
transblockandlonghook_synth.rle,Trans-block and long hook_synth
transboatanddock.rle,Trans-boat and dock
transboatwithnine.rle,Trans-boat with nine
transboatwithnine_synth.rle,Trans-boat with nine_synth
transboatwithtail.rle,Trans-boat with tail
transboatwithtail_synth.rle,Trans-boat with tail_synth
transfusewithtwotails.rle,Trans-fuse with two tails
transfusewithtwotails_synth.rle,Trans-fuse with two tails_synth
transhookandrbee.rle,Trans-hook and R-bee
transloafwithtail.rle,Trans-loaf with tail
transloafwithtail_synth.rle,Trans-loaf with tail_synth
transmirroredrbee.rle,Trans-mirrored R-bee
transmirroredrbee_synth.rle,Trans-mirrored R-bee_synth
transparentblockreaction.rle,Transparent block reaction
transqueenbeeshuttle.rle,Trans-queen bee shuttle
transrbeeandrloaf.rle,Trans-R-bee and R-loaf
transrotatedrbee.rle,Trans-rotated R-bee
triblock.rle,Tri-block
tricetongs.rle,Trice tongs
tricetongs_synth.rle,Trice tongs_synth
triplecaterer.rle,Triple caterer
triplepseudostilllife.rle,Triple pseudo still life
triplets.rle,Triplets
tripole.rle,Tripole
tripole_synth.rle,Tripole_synth
tritoad.rle,Tritoad
trueperiod22gun.rle,True period 22 gun
trueperiod24gun.rle,True period 22 gun
ttetromino.rle,T-tetromino
tub.rle,Tub
tubber.rle,Tubber
tubtesttubebaby.rle,Tub test tube baby
tubtesttubebaby_synth.rle,Tub test tube baby_synth
tubwithlonglongtail.rle,Tub with long long tail
tubwithlonglongtail_synth.rle,Tub with long long tail_synth
tubwithlongtail.rle,Tub with long tail
tubwithlongtail_synth.rle,Tub with long tail_synth
tubwithtail.rle,Tub with tail
tubwithtail_synth.rle,Tub with tail_synth
tub_synth.rle,Tub_synth
tumbler.rle,Tumbler
tumbler_synth.rle,Tumbler_synth
tumblingttetson.rle,Tumbling T-tetson
turingmachine.rle,Turing machine
turningtoads.rle,Turning toads
turtle.rle,Turtle
turtlewithtagalong.rle,Turtle with tagalong
twinbeesshuttle.rle,Twin bees shuttle
twinbeesshuttlev2.rle,Twin bees shuttle v2
twinbeesshuttle_synth.rle,Twin bees shuttle_synth
twinhat.rle,Twin hat
twinhat_synth.rle,Twin hat_synth
twinprimecalculator.rle,Twin prime calculator
twirlingttetsons2.rle,Twirling T-tetsons 2
twirlingttetsonsii.rle,Twirling T-tetson II
twoeaters.rle,Two eaters
twoeaters_synth.rle,Two eaters_synth
twoglidermess.rle,Two-glider mess
twoglidermess_synth.rle,Two-glider mess_synth
twoglidersyntheses.rle,Two-glider syntheses
twogun.rle,twogun
twoprelhasslers.rle,Two pre-L hasslers
twopulsarquadrants.rle,Two pulsar quadrants
unicycle.rle,Unicycle
unicycle_synth.rle,Unicycle_synth
unidimensionalfourgliders.rle,Unidimensional four gliders
unidimensionalinfinitegrowth.rle,Unidimensional infinite growth
unidimensionalnothing.rle,Unidimensional nothing
unidimensionalpentadecathlon.rle,Unidimensional pentadecathlon
unidimensionalsixgliders.rle,Unidimensional six gliders
unidimensionaltumbler.rle,Unidimensional tumbler
unix.rle,Unix
unixon41p7.2.rle,Unix on 41P7.2
unix_synth.rle,Unix_synth
upentomino.rle,U-pentomino
vacuumgun.rle,Vacuum (gun)
vacuumgunpulling.rle,Vacuum (gun) pulling
venetianblinds.rle,Venetian blinds
verylonghouse.rle,Very long house
vgun.rle,V gun
vpentomino.rle,V-pentomino
washerwoman.rle,Washerwoman
washingmachine.rle,Washing machine
washingmachine_synth.rle,Washing machine_synth
wasp.rle,Wasp
wavefront.rle,Wavefront
waveguide1.rle,Waveguide 1
weekender.rle,Weekender
weekenderdistaff.rle,weekenderdistaff.rle
weekendertagalong.rle,Weekender tagalong
weekender_synth.rle,weekender_synth.rle
weldedgeese.rle,Welded geese
whynot.rle,Why not
whynot_synth.rle,Why not_synth
wickstretcher1.rle,Wickstretcher 1
windmill.rle,Windmill
wing.rle,Wing
wingextended.rle,Wing extended
wingspaceship.rle,Wing (spaceship)
workerbee.rle,Worker bee
workerbee_synth.rle,Worker bee_synth
wpentomino.rle,W-pentomino
x66.rle,x66
x66_half.rle,x66
x66_synth.rle,x66_synth.rle
xpentomino.rle,X-pentomino
ypentomino.rle,Y-pentomino
zhexomino.rle,Z-hexomino
zpentomino.rle,Z-pentomino
zweiback.rle,Zweiback
